Symbol,Direction,Entry Price,Max Size,Max Size USDT,Realized PnL,Realized PnL %,Open Time,Close Time,Runup,Drawdown,Open_Time_UTC,Close_Time_UTC,Open_Time_KST,Close_Time_KST,Open_Time_KST_Str,Close_Time_KST_Str,PnL_Value,PnL_Sign,PnL_Numeric,Size_USDT_Numeric,Size_USDT_Abs,Cumulative_PnL,Period,Period_Cumulative_PnL
ETHUSDT,Long,"1,829.854 USDT",970,"1,805,783.51 USDT","-53,949.58 USDT",-2.99 %,05/10/2023 13:39 UTC,05/11/2023 17:24 UTC,,,2023-05-10 13:39:00,2023-05-11 17:24:00,2023-05-10 22:39:00,2023-05-12 02:24:00,2023-05-10 22:39 KST,2023-05-12 02:24 KST,53949.58,-1,-53949.58,1805783.51,1805783.51,50610.14,1,50610.14
BTCUSDT,Long,"28,179.949 USDT",17,"479,059.14 USDT","-2,983.66 USDT",-0.62 %,05/10/2023 14:01 UTC,05/10/2023 17:12 UTC,,,2023-05-10 14:01:00,2023-05-10 17:12:00,2023-05-10 23:01:00,2023-05-11 02:12:00,2023-05-10 23:01 KST,2023-05-11 02:12 KST,2983.66,-1,-2983.66,479059.14,479059.14,47626.479999999996,1,47626.479999999996
BTCUSDT,Long,"27,264.272 USDT",77,"2,093,644.17 USDT","-6,466.14 USDT",-0.31 %,05/10/2023 17:18 UTC,05/11/2023 17:46 UTC,,,2023-05-10 17:18:00,2023-05-11 17:46:00,2023-05-11 02:18:00,2023-05-12 02:46:00,2023-05-11 02:18 KST,2023-05-12 02:46 KST,6466.14,-1,-6466.14,2093644.17,2093644.17,41160.34,1,41160.34
BTCUSDT,Short,"26,333.286 USDT",27,"-710,998.71 USDT","-3,608.54 USDT",-0.51 %,05/12/2023 09:26 UTC,05/12/2023 13:57 UTC,,,2023-05-12 09:26:00,2023-05-12 13:57:00,2023-05-12 18:26:00,2023-05-12 22:57:00,2023-05-12 18:26 KST,2023-05-12 22:57 KST,3608.54,-1,-3608.54,-710998.71,710998.71,37551.799999999996,1,37551.799999999996
ETHUSDT,Short,"1,767 USDT",270,"-477,090.00 USDT","-2,195.73 USDT",-0.46 %,05/12/2023 12:29 UTC,05/12/2023 13:56 UTC,,,2023-05-12 12:29:00,2023-05-12 13:56:00,2023-05-12 21:29:00,2023-05-12 22:56:00,2023-05-12 21:29 KST,2023-05-12 22:56 KST,2195.73,-1,-2195.73,-477090.0,477090.0,35356.06999999999,1,35356.06999999999
BTCUSDT,Long,"26,424.101 USDT",10,"264,241.01 USDT",-40.59 USDT,-0.02 %,05/12/2023 12:45 UTC,05/12/2023 12:45 UTC,,,2023-05-12 12:45:00,2023-05-12 12:45:00,2023-05-12 21:45:00,2023-05-12 21:45:00,2023-05-12 21:45 KST,2023-05-12 21:45 KST,40.59,-1,-40.59,264241.01,264241.01,35315.479999999996,1,35315.479999999996
BTCUSDT,Long,"26,517.96 USDT",57,"1,511,523.70 USDT","-33,248.11 USDT",-2.20 %,05/12/2023 14:16 UTC,05/12/2023 19:26 UTC,,,2023-05-12 14:16:00,2023-05-12 19:26:00,2023-05-12 23:16:00,2023-05-13 04:26:00,2023-05-12 23:16 KST,2023-05-13 04:26 KST,33248.11,-1,-33248.11,1511523.7,1511523.7,2067.3699999999953,1,2067.3699999999953
ETHUSDT,Long,"1,768.492 USDT",270,"477,492.93 USDT","-5,148.37 USDT",-1.08 %,05/12/2023 14:51 UTC,05/12/2023 19:26 UTC,,,2023-05-12 14:51:00,2023-05-12 19:26:00,2023-05-12 23:51:00,2023-05-13 04:26:00,2023-05-12 23:51 KST,2023-05-13 04:26 KST,5148.37,-1,-5148.37,477492.93,477492.93,-3081.0000000000045,1,-3081.0000000000045
BTCUSDT,Long,"26,165.907 USDT",4.038,"105,657.93 USDT",799.24 USDT,0.76 %,05/12/2023 19:53 UTC,05/12/2023 20:01 UTC,,,2023-05-12 19:53:00,2023-05-12 20:01:00,2023-05-13 04:53:00,2023-05-13 05:01:00,2023-05-13 04:53 KST,2023-05-13 05:01 KST,799.24,1,799.24,105657.93,105657.93,-2281.7600000000048,1,-2281.7600000000048
BTCUSDT,Long,"26,812.719 USDT",57,"1,528,325.00 USDT","20,080 USDT",1.31 %,05/13/2023 09:57 UTC,05/18/2023 13:11 UTC,,,2023-05-13 09:57:00,2023-05-18 13:11:00,2023-05-13 18:57:00,2023-05-18 22:11:00,2023-05-13 18:57 KST,2023-05-18 22:11 KST,20080.0,1,20080.0,1528325.0,1528325.0,17798.239999999994,1,17798.239999999994
EDUUSDT,Long,1.246 USDT,"20,000","24,918.15 USDT",382.28 USDT,1.53 %,05/14/2023 13:39 UTC,05/14/2023 14:11 UTC,,,2023-05-14 13:39:00,2023-05-14 14:11:00,2023-05-14 22:39:00,2023-05-14 23:11:00,2023-05-14 22:39 KST,2023-05-14 23:11 KST,382.28,1,382.28,24918.15,24918.15,18180.519999999993,1,18180.519999999993
ETHUSDT,Long,"1,823.77 USDT",700,"1,276,638.96 USDT","-7,441.94 USDT",-0.58 %,05/15/2023 06:28 UTC,05/18/2023 13:14 UTC,,,2023-05-15 06:28:00,2023-05-18 13:14:00,2023-05-15 15:28:00,2023-05-18 22:14:00,2023-05-15 15:28 KST,2023-05-18 22:14 KST,7441.94,-1,-7441.94,1276638.96,1276638.96,10738.579999999994,1,10738.579999999994
BTCUSDT,Long,"27,141.681 USDT",100.5,"2,727,738.95 USDT","24,500 USDT",0.90 %,05/18/2023 18:03 UTC,05/23/2023 07:31 UTC,,,2023-05-18 18:03:00,2023-05-23 07:31:00,2023-05-19 03:03:00,2023-05-23 16:31:00,2023-05-19 03:03 KST,2023-05-23 16:31 KST,24500.0,1,24500.0,2727738.95,2727738.95,35238.579999999994,1,35238.579999999994
ETHUSDT,Long,"1,809.158 USDT",370,"669,388.41 USDT",882.67 USDT,0.13 %,05/21/2023 12:34 UTC,05/22/2023 14:08 UTC,,,2023-05-21 12:34:00,2023-05-22 14:08:00,2023-05-21 21:34:00,2023-05-22 23:08:00,2023-05-21 21:34 KST,2023-05-22 23:08 KST,882.67,1,882.67,669388.41,669388.41,36121.24999999999,1,36121.24999999999
ETHUSDT,Short,"1,851.42 USDT",170,"314,741.40 USDT","-1,277.24 USDT",-0.41 %,05/23/2023 08:13 UTC,05/23/2023 15:26 UTC,,,2023-05-23 08:13:00,2023-05-23 15:26:00,2023-05-23 17:13:00,2023-05-24 00:26:00,2023-05-23 17:13 KST,2023-05-24 00:26 KST,1277.24,-1,-1277.24,314741.4,314741.4,34844.009999999995,1,34844.009999999995
BTCUSDT,Long,"27,085.03 USDT",90,"2,437,652.70 USDT","40,151 USDT",1.65 %,05/23/2023 17:46 UTC,05/29/2023 15:36 UTC,,,2023-05-23 17:46:00,2023-05-29 15:36:00,2023-05-24 02:46:00,2023-05-30 00:36:00,2023-05-24 02:46 KST,2023-05-30 00:36 KST,40151.0,1,40151.0,2437652.7,2437652.7,74995.01,1,74995.01
ETHUSDT,Long,"1,828.909 USDT",870,"1,591,150.53 USDT","38,385 USDT",2.41 %,05/23/2023 17:47 UTC,05/29/2023 15:35 UTC,,,2023-05-23 17:47:00,2023-05-29 15:35:00,2023-05-24 02:47:00,2023-05-30 00:35:00,2023-05-24 02:47 KST,2023-05-30 00:35 KST,38385.0,1,38385.0,1591150.53,1591150.53,113380.01,1,113380.01
DASHUSDT,Long,41.21 USDT,"2,000","82,419.46 USDT",251.00 USDT,0.30 %,05/24/2023 07:46 UTC,05/25/2023 18:59 UTC,,,2023-05-24 07:46:00,2023-05-25 18:59:00,2023-05-24 16:46:00,2023-05-26 03:59:00,2023-05-24 16:46 KST,2023-05-26 03:59 KST,251.0,1,251.0,82419.46,82419.46,113631.01,1,113631.01
AXSUSDT,Short,6.938 USDT,"32,000","-222,020.02 USDT","-4,909.21 USDT",-2.21 %,05/25/2023 04:02 UTC,05/28/2023 22:08 UTC,,,2023-05-25 04:02:00,2023-05-28 22:08:00,2023-05-25 13:02:00,2023-05-29 07:08:00,2023-05-25 13:02 KST,2023-05-29 07:08 KST,4909.21,-1,-4909.21,-222020.02,222020.02,108721.79999999999,1,108721.79999999999
OPUSDT,Short,1.591 USDT,"67,563.3","-107,517.10 USDT","-4,082.19 USDT",-3.80 %,05/27/2023 18:02 UTC,05/28/2023 22:08 UTC,,,2023-05-27 18:02:00,2023-05-28 22:08:00,2023-05-28 03:02:00,2023-05-29 07:08:00,2023-05-28 03:02 KST,2023-05-29 07:08 KST,4082.19,-1,-4082.19,-107517.1,107517.1,104639.60999999999,1,104639.60999999999
BTCUSDT,Long,"28,870.892 USDT",90,"2,488,003.30 USDT","-40,879.44 USDT",-1.64 %,05/31/2023 08:49 UTC,06/22/2023 15:29 UTC,"6.76 % 30,822 USDT","-13.41 % 25,000 USDT",2023-05-31 08:49:00,2023-06-22 15:29:00,2023-05-31 17:49:00,2023-06-23 00:29:00,2023-05-31 17:49 KST,2023-06-23 00:29 KST,40879.44,-1,-40879.44,2488003.3,2488003.3,63760.169999999984,1,63760.169999999984
ETHUSDT,Long,"1,853.165 USDT","1,170","2,211,478.54 USDT","-139,407.43 USDT",-6.30 %,05/31/2023 14:24 UTC,06/22/2023 15:29 UTC,"3.31 % 1,914 USDT","-12.29 % 1,625 USDT",2023-05-31 14:24:00,2023-06-22 15:29:00,2023-05-31 23:24:00,2023-06-23 00:29:00,2023-05-31 23:24 KST,2023-06-23 00:29 KST,139407.43,-1,-139407.43,2211478.54,2211478.54,-75647.26000000001,1,-75647.26000000001
LTCUSDT,Long,87.15 USDT,"3,700","322,455.21 USDT","2,691 USDT",0.83 %,06/05/2023 17:13 UTC,06/07/2023 15:04 UTC,4.93 % 91.45 USDT,-1.77 % 85.61 USDT,2023-06-05 17:13:00,2023-06-07 15:04:00,2023-06-06 02:13:00,2023-06-08 00:04:00,2023-06-06 02:13 KST,2023-06-08 00:04 KST,2691.0,1,2691.0,322455.21,322455.21,-72956.26000000001,1,-72956.26000000001
LTCUSDT,Long,88.584 USDT,"3,340.503","295,915.99 USDT","2,012 USDT",0.68 %,06/07/2023 15:23 UTC,06/09/2023 14:48 UTC,1.52 % 89.93 USDT,-2.52 % 86.35 USDT,2023-06-07 15:23:00,2023-06-09 14:48:00,2023-06-08 00:23:00,2023-06-09 23:48:00,2023-06-08 00:23 KST,2023-06-09 23:48 KST,2012.0,1,2012.0,295915.99,295915.99,-70944.26000000001,1,-70944.26000000001
LTCUSDT,Long,79.81 USDT,"5,000","399,048.33 USDT","27,653 USDT",6.93 %,06/09/2023 20:00 UTC,06/21/2023 16:59 UTC,9.49 % 87.38 USDT,-12.03 % 70.21 USDT,2023-06-09 20:00:00,2023-06-21 16:59:00,2023-06-10 05:00:00,2023-06-22 01:59:00,2023-06-10 05:00 KST,2023-06-22 01:59 KST,27653.0,1,27653.0,399048.33,399048.33,-43291.26000000001,1,-43291.26000000001
XRPUSDT,Long,0.489 USDT,"200,000","97,760.00 USDT",221.26 USDT,0.23 %,06/10/2023 07:53 UTC,06/10/2023 08:45 UTC,0.74 % 0.49 USDT,-0.82 % 0.48 USDT,2023-06-10 07:53:00,2023-06-10 08:45:00,2023-06-10 16:53:00,2023-06-10 17:45:00,2023-06-10 16:53 KST,2023-06-10 17:45 KST,221.26,1,221.26,97760.0,97760.0,-43070.00000000001,1,-43070.00000000001
XRPUSDT,Long,0.473 USDT,"250,000","118,190.00 USDT","5,487 USDT",4.64 %,06/14/2023 22:11 UTC,06/21/2023 06:53 UTC,6.44 % 0.50 USDT,-4.03 % 0.45 USDT,2023-06-14 22:11:00,2023-06-21 06:53:00,2023-06-15 07:11:00,2023-06-21 15:53:00,2023-06-15 07:11 KST,2023-06-21 15:53 KST,5487.0,1,5487.0,118190.0,118190.0,-37583.00000000001,1,-37583.00000000001
LTCUSDT,Long,85.22 USDT,"1,500","127,830.00 USDT",-376.61 USDT,-0.29 %,06/21/2023 17:18 UTC,06/22/2023 15:29 UTC,4.25 % 88.84 USDT,-1.31 % 84.10 USDT,2023-06-21 17:18:00,2023-06-22 15:29:00,2023-06-22 02:18:00,2023-06-23 00:29:00,2023-06-22 02:18 KST,2023-06-23 00:29 KST,376.61,-1,-376.61,127830.0,127830.0,-37959.61000000001,1,-37959.61000000001
XRPUSDT,Long,0.493 USDT,"50,000","24,635.00 USDT",-54.77 USDT,-0.22 %,06/22/2023 14:48 UTC,06/22/2023 15:29 UTC,0.30 % 0.49 USDT,-0.43 % 0.49 USDT,2023-06-22 14:48:00,2023-06-22 15:29:00,2023-06-22 23:48:00,2023-06-23 00:29:00,2023-06-22 23:48 KST,2023-06-23 00:29 KST,54.77,-1,-54.77,24635.0,24635.0,-38014.380000000005,1,-38014.380000000005
BCHUSDT,Short,234.009 USDT,"1,500","-351,013.14 USDT","-21,807.67 USDT",-6.21 %,06/28/2023 12:32 UTC,06/29/2023 23:32 UTC,4.94 % 222.99 USDT,-6.96 % 251.51 USDT,2023-06-28 12:32:00,2023-06-29 23:32:00,2023-06-28 21:32:00,2023-06-30 08:32:00,2023-06-28 21:32 KST,2023-06-30 08:32 KST,21807.67,-1,-21807.67,-351013.14,351013.14,-59822.05,1,-59822.05
XRPUSDT,Long,0.476 USDT,"100,000","47,560.00 USDT",321.36 USDT,0.68 %,06/30/2023 07:52 UTC,06/30/2023 12:12 UTC,1.32 % 0.48 USDT,-0.29 % 0.47 USDT,2023-06-30 07:52:00,2023-06-30 12:12:00,2023-06-30 16:52:00,2023-06-30 21:12:00,2023-06-30 16:52 KST,2023-06-30 21:12 KST,321.36,1,321.36,47560.0,47560.0,-59500.69,1,-59500.69
BTCUSDT,Long,"30,823 USDT",27,"832,221.00 USDT","3,276 USDT",0.39 %,06/30/2023 07:52 UTC,06/30/2023 12:12 UTC,"0.88 % 31,094 USDT","-0.37 % 30,709 USDT",2023-06-30 07:52:00,2023-06-30 12:12:00,2023-06-30 16:52:00,2023-06-30 21:12:00,2023-06-30 16:52 KST,2023-06-30 21:12 KST,3276.0,1,3276.0,832221.0,832221.0,-56224.69,1,-56224.69
ETHUSDT,Long,"1,856 USDT",170,"315,520.00 USDT",-627.78 USDT,-0.20 %,06/30/2023 13:59 UTC,06/30/2023 14:01 UTC,,"-0.56 % 1,845 USDT",2023-06-30 13:59:00,2023-06-30 14:01:00,2023-06-30 22:59:00,2023-06-30 23:01:00,2023-06-30 22:59 KST,2023-06-30 23:01 KST,627.78,-1,-627.78,315520.0,315520.0,-56852.47,1,-56852.47
XRPUSDT,Long,0.462 USDT,"100,000","46,235.06 USDT",-12.80 USDT,-0.03 %,06/30/2023 13:59 UTC,06/30/2023 14:01 UTC,0.25 % 0.46 USDT,-0.38 % 0.46 USDT,2023-06-30 13:59:00,2023-06-30 14:01:00,2023-06-30 22:59:00,2023-06-30 23:01:00,2023-06-30 22:59 KST,2023-06-30 23:01 KST,12.8,-1,-12.8,46235.06,46235.06,-56865.270000000004,1,-56865.270000000004
BTCUSDT,Long,"30,194.331 USDT",47,"1,415,020.20 USDT","12,471 USDT",0.88 %,06/30/2023 14:33 UTC,07/05/2023 11:00 UTC,"3.98 % 31,395 USDT","-0.95 % 29,908 USDT",2023-06-30 14:33:00,2023-07-05 11:00:00,2023-06-30 23:33:00,2023-07-05 20:00:00,2023-06-30 23:33 KST,2023-07-05 20:00 KST,12471.0,1,12471.0,1415020.2,1415020.2,-44394.270000000004,1,-44394.270000000004
XRPUSDT,Long,0.465 USDT,"100,000","46,520.00 USDT",351.97 USDT,0.76 %,06/30/2023 14:33 UTC,07/01/2023 08:50 UTC,2.71 % 0.48 USDT,-0.73 % 0.46 USDT,2023-06-30 14:33:00,2023-07-01 08:50:00,2023-06-30 23:33:00,2023-07-01 17:50:00,2023-06-30 23:33 KST,2023-07-01 17:50 KST,351.97,1,351.97,46520.0,46520.0,-44042.3,1,-44042.3
ETHUSDT,Long,"1,884.892 USDT",374.614,"706,107.07 USDT","14,383 USDT",2.04 %,06/30/2023 15:02 UTC,07/05/2023 10:34 UTC,"4.94 % 1,978 USDT","-2.22 % 1,843 USDT",2023-06-30 15:02:00,2023-07-05 10:34:00,2023-07-01 00:02:00,2023-07-05 19:34:00,2023-07-01 00:02 KST,2023-07-05 19:34 KST,14383.0,1,14383.0,706107.07,706107.07,-29659.300000000003,1,-29659.300000000003
ETHUSDT,Long,"1,908.607 USDT",270,"515,323.86 USDT",-448.71 USDT,-0.09 %,07/05/2023 14:19 UTC,07/05/2023 18:40 UTC,"0.48 % 1,917 USDT","-0.78 % 1,893 USDT",2023-07-05 14:19:00,2023-07-05 18:40:00,2023-07-05 23:19:00,2023-07-06 03:40:00,2023-07-05 23:19 KST,2023-07-06 03:40 KST,448.71,-1,-448.71,515323.86,515323.86,-30108.010000000002,1,-30108.010000000002
ETHUSDT,Long,"1,902.14 USDT",370,"703,791.80 USDT","13,245 USDT",1.88 %,07/06/2023 00:48 UTC,07/06/2023 11:14 UTC,"2.93 % 1,957 USDT","-0.25 % 1,897 USDT",2023-07-06 00:48:00,2023-07-06 11:14:00,2023-07-06 09:48:00,2023-07-06 20:14:00,2023-07-06 09:48 KST,2023-07-06 20:14 KST,13245.0,1,13245.0,703791.8,703791.8,-16863.010000000002,1,-16863.010000000002
ETHUSDT,Long,"1,899.963 USDT",470,"892,982.75 USDT","-23,029.49 USDT",-2.58 %,07/06/2023 12:53 UTC,07/06/2023 23:57 UTC,"0.35 % 1,906 USDT","-2.91 % 1,844 USDT",2023-07-06 12:53:00,2023-07-06 23:57:00,2023-07-06 21:53:00,2023-07-07 08:57:00,2023-07-06 21:53 KST,2023-07-07 08:57 KST,23029.49,-1,-23029.49,892982.75,892982.75,-39892.5,1,-39892.5
LTCUSDT,Long,99.13 USDT,"3,000","297,390.00 USDT","-11,635.00 USDT",-3.91 %,07/06/2023 14:02 UTC,07/07/2023 00:02 UTC,0.01 % 99.14 USDT,-5.38 % 93.80 USDT,2023-07-06 14:02:00,2023-07-07 00:02:00,2023-07-06 23:02:00,2023-07-07 09:02:00,2023-07-06 23:02 KST,2023-07-07 09:02 KST,11635.0,-1,-11635.0,297390.0,297390.0,-51527.5,1,-51527.5
BTCUSDT,Long,"30,129.003 USDT",27,"813,483.07 USDT","-6,337.30 USDT",-0.78 %,07/06/2023 14:43 UTC,07/06/2023 23:58 UTC,"1.15 % 30,476 USDT","-1.03 % 29,818 USDT",2023-07-06 14:43:00,2023-07-06 23:58:00,2023-07-06 23:43:00,2023-07-07 08:58:00,2023-07-06 23:43 KST,2023-07-07 08:58 KST,6337.3,-1,-6337.3,813483.07,813483.07,-57864.8,1,-57864.8
ETHUSDT,Long,"1,861.55 USDT",270,"502,618.50 USDT",972.45 USDT,0.19 %,07/07/2023 10:47 UTC,07/07/2023 21:06 UTC,"0.86 % 1,877 USDT","-0.62 % 1,850 USDT",2023-07-07 10:47:00,2023-07-07 21:06:00,2023-07-07 19:47:00,2023-07-08 06:06:00,2023-07-07 19:47 KST,2023-07-08 06:06 KST,972.45,1,972.45,502618.5,502618.5,-56892.350000000006,1,-56892.350000000006
DOGEUSDT,Long,0.065 USDT,"917,500","59,999.91 USDT","3,848 USDT",6.41 %,07/11/2023 06:52 UTC,07/13/2023 18:38 UTC,8.05 % 0.07 USDT,-2.82 % 0.06 USDT,2023-07-11 06:52:00,2023-07-13 18:38:00,2023-07-11 15:52:00,2023-07-14 03:38:00,2023-07-11 15:52 KST,2023-07-14 03:38 KST,3848.0,1,3848.0,59999.91,59999.91,-53044.350000000006,1,-53044.350000000006
ETHUSDT,Long,"1,876.32 USDT",0.143,268.31 USDT,16.22 USDT,6.05 %,07/11/2023 15:23 UTC,07/13/2023 18:38 UTC,"7.38 % 2,014 USDT","-0.79 % 1,861 USDT",2023-07-11 15:23:00,2023-07-13 18:38:00,2023-07-12 00:23:00,2023-07-14 03:38:00,2023-07-12 00:23 KST,2023-07-14 03:38 KST,16.22,1,16.22,268.31,268.31,-53028.130000000005,1,-53028.130000000005
BTCUSDT,Long,"30,193.556 USDT",27.274,"823,499.05 USDT","1,366 USDT",0.17 %,07/14/2023 21:23 UTC,07/16/2023 07:56 UTC,"0.62 % 30,380 USDT","-0.48 % 30,050 USDT",2023-07-14 21:23:00,2023-07-16 07:56:00,2023-07-15 06:23:00,2023-07-16 16:56:00,2023-07-15 06:23 KST,2023-07-16 16:56 KST,1366.0,1,1366.0,823499.05,823499.05,-51662.130000000005,1,-51662.130000000005
